hours_studied_weekly,attendance_pct,previous_exam_score,practice_tests_completed,sleep_hours,tutoring_sessions,assignment_completion_pct,class_participation,passed
10.8,72,61,4,7.4,0,82,4,1
1.9,76,58,0,7.4,0,53,3,0
7.9,83,51,6,7.6,2,71,1,0
5.4,52,45,5,9,0,61,2,0
1.3,74,67,0,5.3,3,62,4,0
2.2,65,35,4,6.5,1,69,2,0
8.5,85,75,3,6.3,1,69,3,1
3.9,75,69,2,5.7,1,64,3,1
1.6,84,85,3,5.2,0,62,4,0
14.4,70,62,5,7.1,2,100,3,1
11.2,67,60,5,6.4,0,96,3,0
5.9,70,72,0,8.6,2,69,2,0
11.3,92,71,9,7.4,0,91,4,1
9.9,87,88,1,7.2,0,83,3,1
7.6,83,68,6,8.4,4,100,3,1
10.9,61,57,0,5.8,2,74,2,0
6.2,80,82,6,5.8,1,67,2,0
7.8,78,63,5,7.1,2,93,2,1
10.4,72,61,1,7.4,0,74,4,0
6.1,88,69,7,6.4,3,99,3,1
3.1,71,67,4,5.3,3,80,2,0
10.5,71,52,3,6.5,1,84,3,0
7.1,81,49,4,6.2,3,79,3,1
6.9,80,80,3,7.5,0,85,3,1
12.7,71,44,3,6.3,2,89,2,0
7.3,69,77,0,7.7,0,89,4,0
7.6,89,51,3,6.5,1,81,2,0
3.9,76,86,0,7.7,5,87,2,1
7.3,100,59,2,5.5,1,95,3,1
8.1,76,75,1,6.7,2,74,2,1
8,77,77,2,6,1,71,3,0
11.9,87,62,2,8,1,86,3,0
4.8,80,74,7,5.7,2,84,4,1
7.3,83,55,0,7.8,2,84,2,0
5.7,69,40,3,6.4,2,85,3,0
5.9,80,49,3,8.1,4,66,3,0
7.6,79,71,3,5.9,3,83,2,1
5.5,89,49,3,6.7,3,69,4,1
7.3,96,69,3,9,3,100,4,1
7.7,77,50,5,7.3,1,74,2,1
8.3,100,81,5,8.7,1,92,2,1
7.3,89,67,4,7.9,1,63,4,1
3.9,84,62,8,6.1,1,89,3,1
0,65,51,2,7.9,0,52,1,0
6.3,66,76,3,6.1,2,64,3,0
9.2,69,60,5,6,0,100,2,1
7.5,83,55,4,6.1,3,92,4,1
6.8,78,71,0,6.2,1,51,1,0
7.5,71,64,4,6.8,0,37,4,0
5.6,67,76,5,9,5,76,3,0
7.8,97,61,3,6.6,4,87,3,1
8.1,97,82,3,7.2,4,72,2,1
9,70,74,6,6,3,79,4,0
2.7,74,43,0,6.4,0,88,2,0
10,68,54,3,5.5,1,45,3,0
8.3,84,68,4,6.2,4,74,2,1
8.6,70,60,3,7.1,0,69,3,0
3.7,70,65,3,7.3,0,74,5,0
4.7,96,55,1,5.9,1,88,3,1
9.8,100,56,1,7,0,82,4,1
1.3,82,72,3,5.4,1,62,5,0
8.6,77,72,0,7.3,4,90,2,1
5.2,70,78,0,7.9,1,79,4,0
4.9,79,48,4,7.1,2,73,4,0
2.9,70,37,8,7.9,0,43,3,0
8.3,71,49,6,6,2,60,4,0
10.9,74,86,6,8.1,2,58,3,1
11.8,73,48,1,7.4,3,91,3,1
3.8,86,58,4,7,4,100,4,1
1.4,66,53,5,6.1,2,81,2,0
5.1,77,65,3,6.9,1,73,4,1
5.6,85,60,6,8.1,1,46,2,1
0.9,69,66,2,6.8,0,35,3,0
5.8,86,65,2,5.2,1,89,3,0
5,89,70,0,8.6,0,87,3,0
7,60,51,2,6,1,48,1,0
10.1,61,40,5,7.1,2,81,2,0
8.2,74,52,4,6.5,4,62,1,1
6.9,59,53,0,5.8,0,65,2,0
9.8,72,47,3,5,0,61,2,1
5.8,88,66,4,7.9,4,82,4,1
9.4,83,74,0,7.1,0,57,3,1
7.8,81,49,2,7.2,0,100,3,0
3.8,61,76,3,5.4,2,61,3,0
2.3,91,74,5,6.7,2,70,3,1
8.6,76,67,3,6.1,2,68,4,0
8,86,70,6,7.6,1,68,3,1
9.1,89,57,5,8.7,2,100,1,1
9.3,76,59,1,6,1,84,5,1
9.7,70,67,4,6.6,0,72,4,1
6.2,77,79,2,6.4,0,78,4,1
3.9,56,63,0,5.4,4,62,2,0
7.2,79,69,4,7,0,44,1,0
9.9,58,77,3,6.1,0,59,3,0
7.9,77,70,0,4.7,0,78,4,1
10.6,87,54,6,6.5,1,92,4,1
11.5,90,54,5,5.5,1,85,3,1
7.2,73,76,2,6.6,3,59,4,1
4.8,90,51,2,7.4,1,43,2,0
10,72,63,2,7.2,0,86,4,1
7,88,70,1,6,2,67,5,1
13,64,69,5,7.4,1,46,2,0
12.3,82,85,6,8.9,1,100,4,1
3.6,71,66,6,6.5,1,76,4,1
6.2,99,42,2,7.3,1,79,3,0
7.7,73,51,8,7.5,0,62,4,0
10.1,76,61,2,6.9,1,80,2,0
10.5,93,58,6,7.4,3,77,2,1
2.4,65,49,4,5.4,1,67,3,0
9,75,72,3,6.6,0,74,2,0
9,89,71,4,7.9,0,85,5,1
6.6,80,95,1,7.2,1,85,4,1
4.4,88,65,5,7.7,0,84,4,1
11.7,73,77,3,6,3,82,2,1
12.8,93,37,3,7.6,2,79,4,0
7.3,67,68,4,7.4,1,64,2,0
6.5,92,61,2,9,3,85,5,1
6.4,65,75,4,5.5,0,68,5,1
5.3,72,34,7,7.4,1,66,3,0
5.9,79,63,6,5.9,0,63,2,1
7.1,54,43,4,7.4,2,78,4,0
3.4,71,73,7,5.5,5,79,2,1
6.9,92,92,2,6.1,1,79,3,1
5.4,87,64,2,6.5,0,70,3,1
9.1,70,51,2,4.1,2,84,2,0
10.8,69,56,4,6.7,0,60,3,1
10.2,76,51,5,7.3,0,69,3,0
5.2,73,55,7,7.2,0,81,3,1
6.5,84,46,0,8.4,1,49,2,0
3.9,52,72,3,7.4,0,97,3,0
3.7,79,64,5,5.9,1,66,3,1
0,75,57,0,7,5,55,4,0
9.5,85,57,4,7,1,71,4,1
11.6,80,53,4,7.4,4,64,4,1
9.2,78,61,2,6.4,4,85,4,0
4,72,65,5,5.8,0,84,2,0
10.9,83,63,2,7,3,83,3,0
8.6,61,61,4,8.7,0,91,1,0
12.6,79,73,7,4.7,1,66,4,1
5.6,73,59,3,7.2,1,73,2,0
6,100,63,6,5.6,0,74,4,1
9.8,83,61,6,9,0,71,4,1
10.4,77,44,5,4.9,1,96,2,0
8.7,92,54,5,8.6,1,97,5,1
5.1,66,40,2,7.7,1,60,2,0
6.9,74,79,0,9,1,72,3,1
7.4,64,84,1,7,0,90,3,1
9.8,89,56,1,7.3,1,96,3,1
4,70,88,1,7.3,2,72,3,1
3.8,73,55,3,6,0,91,3,0
7.7,84,66,3,8.8,2,53,2,0
10.6,72,74,3,7.7,0,100,2,0
10.1,83,88,3,7.8,3,88,4,1
0.9,96,52,0,6.1,0,81,2,0
9.3,95,64,4,7,3,94,3,1
14.5,74,41,3,6.3,2,100,4,0
9.7,79,51,2,7.4,2,64,5,0
16.1,54,67,2,7.5,0,63,3,0
12.9,87,45,7,5.8,2,73,4,1
4.7,76,56,5,7.5,2,61,1,0
3.2,65,68,4,6.3,0,97,4,0
6.2,86,67,3,6.3,0,53,2,0
4.5,70,43,3,6.8,4,58,3,0
8.3,88,45,4,7.1,2,75,3,1
8.6,100,57,3,7,1,83,4,0
3.8,61,56,3,6.8,1,62,3,0
6.7,69,64,3,5.1,3,51,3,0
11.2,71,68,6,6.4,0,54,3,0
9.9,78,74,0,7.9,3,59,2,0
11.5,88,57,9,5.2,2,100,3,1
9.3,84,63,8,6.8,3,84,3,1
7.5,92,47,3,6.7,3,66,2,0
6.3,84,64,3,7.6,4,83,4,1
5.4,81,72,2,7.6,1,63,4,0
4.2,83,68,4,7.3,0,70,2,0
9.1,73,53,2,6.6,3,100,4,0
5.7,70,61,6,7.8,0,79,3,1
9.7,73,80,1,6.4,0,58,2,0
8.3,75,51,0,7.1,1,61,4,0
8.6,77,68,1,7.3,0,75,4,0
6.4,80,49,4,8.3,2,72,3,0
2.5,80,51,6,6.7,0,79,4,0
8.4,59,46,4,6.8,1,77,2,1
2,57,66,1,6.2,2,70,1,0
10,70,68,9,8,1,77,3,0
5.5,78,78,4,4.5,2,100,4,1
3.8,68,85,2,6.1,0,60,5,1
3.1,90,65,3,6.9,0,97,4,1
2.6,90,62,2,7.4,2,74,4,0
14.1,80,44,6,7.2,2,80,4,0
6.5,71,57,2,8.3,3,45,2,0
7.7,93,65,6,4.2,0,73,3,0
10,78,95,7,9,2,63,4,1
8.2,57,59,3,6.7,1,74,3,0
11.2,80,53,3,5.2,3,84,3,1
5.2,89,58,2,6.4,3,79,4,0
2.3,65,53,3,7,1,92,2,0
12.6,77,57,3,6.1,3,97,3,0
8.6,84,86,4,7.8,3,87,3,1
10.4,79,67,3,6.7,2,63,4,1
8.2,73,53,1,5.5,1,85,2,0
3.7,57,72,3,5.3,2,72,1,1
5.3,82,53,2,5.3,0,73,3,0
10.6,99,73,4,5.6,0,91,2,1
7.1,73,76,0,7.9,1,77,5,0
6.4,75,54,3,6,2,84,3,0
4.5,85,60,2,5.4,3,87,3,1
7.1,86,47,3,5.9,0,71,1,0
5.7,84,74,4,6.1,2,81,4,1
1.5,57,48,0,7.7,1,65,2,0
6.2,89,86,4,7,5,76,5,1
1.2,78,84,1,6.6,2,60,2,0
10.4,92,35,7,5.9,0,87,2,0
7.5,100,53,2,5.2,1,80,2,0
8,60,65,2,5.4,3,58,1,0
6.6,77,51,0,6.7,1,54,3,0
4,92,70,1,6.9,4,78,2,0
7,73,44,3,6.1,3,63,3,0
3.4,74,67,3,7.7,4,62,4,0
7.1,58,78,0,6.5,1,81,3,0
8.6,62,70,1,8.5,5,63,1,0
5.5,75,66,4,7.1,1,98,2,0
6,68,72,4,5.7,0,76,3,0
10.4,64,69,2,7.1,4,100,4,0
9.7,80,70,1,7.1,1,89,3,1
5.1,57,36,4,6.7,0,81,2,0
7.8,87,52,9,7.6,1,74,4,1
9.5,84,65,3,7.5,1,100,1,1
5.8,78,63,5,5.5,2,57,5,0
8.9,60,71,4,5.7,0,58,2,0
5.1,100,75,5,7.2,1,72,3,1
7.1,81,70,0,6.6,0,70,4,1
11.1,73,59,2,5,3,72,5,0
10.5,87,84,3,8.8,0,99,3,1
7,64,50,3,6.6,4,65,3,0
6.6,84,54,3,6.6,1,84,3,1
4.3,65,66,2,7.3,2,53,2,0
9.4,77,65,4,6.9,1,60,2,1
11.2,88,47,5,5.4,5,70,3,1
3.3,81,73,5,6.2,1,82,5,1
3.3,76,60,0,8.1,0,52,4,0
3.4,64,66,0,5.8,0,50,2,0
4.2,85,53,0,7.1,2,95,3,0
6.2,77,88,5,7.4,1,78,3,1
6.6,74,42,3,4.4,3,59,3,0
6.8,87,63,3,5.9,3,75,3,0
6.3,71,48,5,6.7,5,93,3,0
5.5,65,54,1,5.7,5,100,4,0
7.4,85,69,3,6.4,3,99,3,1
6.4,73,51,0,6,2,49,3,0
8,85,62,2,7.9,0,76,3,0
5.8,86,53,3,7.7,0,46,3,1
9.6,73,59,4,8.5,3,76,3,0
8.1,78,40,7,5.7,0,87,3,1
7.6,70,62,0,8.1,1,93,4,0
1.7,61,71,5,7.2,0,93,4,1
6.9,81,50,4,7.4,1,70,1,0
7,79,43,5,6.4,0,100,5,0
7.7,81,54,4,8.7,3,52,4,0
9.8,88,61,6,6.2,2,92,4,1
5.5,82,71,0,5.2,2,100,4,0
9.1,83,61,2,8.6,1,63,2,0
6.3,85,37,3,9,2,70,3,1
12.1,90,48,5,6.8,2,80,4,1
8.9,69,52,4,7.7,2,100,2,0
6.6,76,49,4,6.7,1,76,5,1
9.7,80,64,1,8,0,91,3,1
9.7,74,61,2,5.8,1,100,2,0
0,72,73,0,5.2,2,68,4,0
2,70,53,4,6.2,0,50,4,0
5.4,99,63,7,7.3,0,64,2,1
8.5,62,61,1,8.6,1,92,4,0
8.6,73,35,2,7.1,1,78,4,0
9.6,80,59,1,8.1,1,82,3,0
8.3,75,67,2,6.3,3,76,5,0
9.5,100,72,1,6.7,1,79,4,1
11.4,100,63,3,5.5,2,77,5,1
3.4,73,56,0,6.6,2,83,2,0
10,61,62,3,6.5,0,67,2,0
10.7,65,67,0,7.5,1,71,3,1
6.2,74,50,2,8.3,0,80,3,1
6.1,68,39,3,6.8,0,67,3,0
6.3,69,60,3,7.4,2,54,5,0
4.6,82,55,3,8.3,1,75,3,0
8.5,81,51,3,6.4,4,77,1,1
8.5,78,52,5,7.4,0,100,2,1
13,100,68,4,6.8,0,66,3,1
6.6,88,50,4,7.1,0,97,4,0
3.6,62,95,1,6.9,0,83,3,1
6,85,68,2,6.1,0,64,2,0
5.8,82,59,2,4.9,0,72,1,0
7.3,73,75,7,6.4,0,66,4,1
10.9,93,76,4,6.7,2,71,3,1
10.9,83,59,4,7.2,0,89,3,1
7.5,72,56,0,7.7,2,48,2,1
5.9,65,72,6,4.6,3,89,3,0
3,66,42,2,5.7,3,55,2,0
6,62,76,3,6.7,0,91,2,0
12.8,100,60,4,6.7,0,79,5,1
6.6,73,53,3,6.4,0,71,2,0
4.1,68,55,1,6.5,0,63,3,1
10,100,55,2,6.1,2,71,3,1
3.7,78,44,2,7.1,0,79,2,0
2.2,83,79,1,7,3,81,2,0
7.6,65,71,3,8.5,2,74,3,0
11.7,64,58,2,6.7,4,61,3,0
11.8,84,73,4,8.3,1,73,3,1
7.1,67,38,3,7.9,0,53,2,1
5.4,59,69,4,5.4,1,35,2,0
6,80,64,3,6,1,40,3,0
11.1,84,54,2,6.1,1,61,4,1
4.9,74,67,6,7.9,0,64,5,1
9.4,72,68,5,6.7,0,85,5,1
6.7,97,71,5,8.5,0,63,5,1
10.1,73,42,3,6.9,0,82,2,0
4.1,58,66,1,7.1,4,75,1,0
0,73,65,2,5.8,1,63,3,0
0.3,78,56,0,8.9,2,86,2,0
11.8,76,45,3,5.7,0,82,1,0
9.2,77,70,4,9,1,80,2,1
1.1,65,53,2,7.6,2,59,3,1
2.5,76,74,3,7.8,0,56,2,1
6.9,61,68,5,6.4,2,60,4,0
3.8,68,38,1,8.1,4,75,3,0
5.2,58,56,1,6.7,0,70,4,0
11.7,84,86,2,6.8,1,83,3,1
7,84,68,5,6.3,2,70,2,1
8.2,89,77,5,9,0,79,1,1
6.7,75,46,6,6.1,1,92,3,1
3.3,81,33,1,7.6,3,89,3,0
9.1,86,60,2,6.9,3,71,2,1
4.9,77,58,4,9,4,92,4,0
7.9,60,65,2,6.9,0,47,3,0
6.9,79,64,4,5.8,0,70,4,0
0,75,62,6,6.2,4,48,5,0
5.4,82,67,1,6.3,1,53,2,0
9,61,46,0,5.2,1,55,2,0
6.4,100,91,5,7.1,1,78,5,1
4.2,91,48,4,6.6,0,92,1,0
4.6,62,56,0,6.7,0,61,4,1
7.8,65,47,2,6.8,0,99,3,0
2.9,67,69,0,7.4,0,63,4,0
5.2,81,78,0,5.8,0,72,4,0
10.3,58,82,2,8.5,1,72,2,0
8.3,61,64,1,7,0,66,3,0
12.6,74,71,2,6.7,3,73,2,0
9.1,90,71,3,6,1,100,3,1
7.9,66,57,4,6.8,1,81,2,0
8.6,66,56,0,5.2,4,80,4,0
13.9,77,50,8,8.3,3,86,5,1
2.6,74,66,5,8.2,3,76,3,1
11.3,86,49,4,6.7,0,79,5,0
5.5,75,48,2,6.7,2,60,4,1
5.7,73,39,3,5.7,0,100,5,0
4.6,84,42,4,6.5,2,78,3,0
8,98,58,2,6.1,1,55,3,1
11.1,85,76,4,6.3,1,87,3,1
6.6,77,58,3,6.1,0,66,3,0
7.6,82,62,3,6.7,3,90,4,0
10.9,77,41,2,6.8,0,72,3,0
4.6,98,70,1,5,0,76,3,0
8.3,66,95,1,7.6,0,69,3,1
0,62,82,1,7.5,1,57,1,0
15.9,100,56,3,5.9,0,73,5,1
8.8,74,69,2,6.2,1,96,4,1
5.1,71,46,6,6.1,0,59,1,0
7.7,80,74,2,6.1,2,100,2,0
10.5,83,61,4,7.8,1,99,3,1
4.3,88,81,3,6.8,3,85,4,1
4,66,64,5,8.1,0,87,4,0
5.4,62,67,5,7.3,1,93,2,0
7.3,94,63,4,7.2,0,89,4,1
5.1,94,73,2,6.1,2,86,4,0
12,80,73,4,7.2,2,81,5,1
7.6,83,51,2,6.2,0,82,2,1
3.1,73,80,3,6.2,5,78,2,0
12.2,78,68,4,6.6,0,77,4,0
14.1,71,43,5,7,1,79,3,0
0,48,64,4,6.4,3,70,2,0
1.6,48,62,2,6,1,71,1,0
8.5,100,58,4,6.9,2,82,5,1
4.9,66,68,7,6.5,3,84,3,0
10.6,87,66,1,7.1,0,82,3,1
5.2,52,72,0,5.2,1,74,2,0
10.3,92,72,0,8.3,1,59,3,1
3.1,89,46,1,6.3,1,95,4,1
6.9,48,50,1,7.9,0,68,2,0
6.6,88,77,2,7.8,3,94,2,1
7.3,68,62,4,7.8,0,86,3,0
6.1,78,32,4,6.5,0,85,3,0
12.1,82,74,6,6.8,0,92,1,1
12,84,79,2,8.2,3,70,2,1
8.9,87,59,7,5.7,0,81,3,1
11.1,80,66,3,5.8,0,100,4,1
8.8,82,67,1,7.3,1,79,3,0
9.3,92,71,2,5.1,3,79,3,0
4.9,83,43,4,8.4,0,93,3,0
3.7,74,63,0,7.2,1,66,3,1
7.9,89,81,2,8.9,1,43,2,1
8.7,91,81,3,6.2,4,76,5,1
9,67,44,2,4.4,2,61,3,0
4.9,80,51,5,8.4,3,84,2,0
10.4,73,90,2,7.8,3,69,3,1
4.3,90,42,5,5.3,0,76,2,0
10.4,100,60,5,6.5,0,100,4,1
10,62,71,4,5.1,0,84,3,1
0.2,62,51,0,8.7,3,76,3,0
4.2,70,94,2,5.9,0,61,1,1
9.4,62,64,3,7.1,2,81,1,0
13.8,82,51,4,6.6,2,73,4,0
5.3,79,67,1,7,1,66,2,1
8.8,75,65,4,5.5,1,71,3,1
7.9,76,63,1,6.7,0,75,3,0
11.4,79,50,1,8.1,0,53,4,0
3.2,65,63,0,8.6,1,72,3,0
9.1,69,60,3,6.9,3,77,4,1
6.7,84,60,1,5.5,1,59,3,0
6.3,81,63,5,6.7,2,78,3,1
10.9,77,33,2,6.2,0,82,4,0
