order_id,distance_km,delivery_time_min,order_value_sgd,vehicle_type,traffic_level,weather,time_of_day,area,customer_rating
SG10047,1.5,18,34.19,Motorcycle,Medium,Cloudy,Morning,Central,5
SG10048,2,24,34.8,Motorcycle,Medium,Clear,Evening,East,5
SG10049,6.9,45,28.75,Motorcycle,Medium,Cloudy,Evening,West,4
SG10050,4.1,60,21.85,Bicycle,High,Clear,Evening,Central,4.2
SG10051,4.2,44,58.94,Motorcycle,High,Clear,Afternoon,Central,4.7
SG10052,2.7,23,43.23,Bicycle,Medium,Clear,Morning,East,5
SG10053,2.7,18,40.85,Bicycle,N/A,Clear,Afternoon,North-East,4.4
SG10054,9,60,42.69,Motorcycle,Medium,Rainy,Evening,West,4.2
SG10055,7.1,41,20.61,Bicycle,Medium,Clear,Night,East,4.2
SG10056,3.5,38,47.44,Car,Medium,Clear,Night,Central,4.9
SG10057,5.6,37,21.53,Motorcycle,N/A,Rainy,Night,West,5
SG10058,6.2,45,36.66,Motorcycle,Medium,Cloudy,Evening,Central,5
SG10059,13.6,61,17.53,Car,Medium,Clear,Night,West,4
SG10060,2.5,30,7,Car,Medium,Clear,Afternoon,North,5
SG10061,6.2,33,37.08,Motorcycle,Medium,Clear,Morning,East,5
SG10062,9,39,24.65,Motorcycle,Low,Cloudy,Morning,East,4
SG10063,12.6,50,12.24,Motorcycle,Low,Clear,Afternoon,Central,4.7
SG10064,3.4,35,37.76,Bicycle,Medium,Clear,Afternoon,Central,5
SG10065,4.1,35,58.84,Motorcycle,Medium,Clear,Morning,East,4.7
SG10066,8,33,52.45,Motorcycle,Low,Cloudy,Night,North-East,4.3
SG10067,1.8,23,26.08,Bicycle,Medium,Clear,Morning,Central,5
SG10068,6.6,66,33.36,Car,High,Rainy,Night,West,3.5
SG10069,16.5,63,52.71,Bicycle,Low,Clear,Evening,North,4.1
SG10070,7,52,48.17,Motorcycle,High,Cloudy,Evening,Central,4.4
SG10071,1,37,24.36,Motorcycle,High,Clear,Evening,Central,5
SG10072,3,34,30.84,Car,Medium,Clear,Afternoon,East,4.5
SG10073,3.5,37,34.7,Car,Medium,Clear,Evening,North,4.4
SG10074,10.2,47,43.37,Motorcycle,Low,N/A,Morning,East,4.5
SG10075,4.8,53,30.12,Bicycle,High,Rainy,Night,North,4.8
SG10076,1.5,27,27.64,Motorcycle,Medium,Clear,Afternoon,North-East,5
SG10077,5.2,32,50.07,Motorcycle,High,Clear,Afternoon,North,4.2
SG10078,5.8,58,48.39,Motorcycle,Medium,,Evening,North-East,
SG10079,3.8,31,37.24,Motorcycle,Low,Cloudy,Evening,North,4.4
SG10080,2.7,26,52.48,Motorcycle,Low,Clear,Afternoon,North-East,5
SG10081,17.5,67,36.99,Car,Medium,Clear,Evening,North-East,3.6
SG10082,9,42,56.28,Motorcycle,Medium,Cloudy,Morning,North,
SG10083,9.5,42,42.63,Motorcycle,Low,Cloudy,Evening,North,4.3
SG10084,4.8,43,74.38,Motorcycle,Medium,Cloudy,Afternoon,North-East,4.6
SG10085,3.4,91,15.2,Motorcycle,High,Rainy,Afternoon,West,3.7
SG10086,3.9,104,22.17,Motorcycle,Medium,Clear,Morning,West,3.5
SG10087,2.1,29,35.11,Bicycle,Medium,Clear,Afternoon,West,4.9
SG10088,13.4,47,43.89,Motorcycle,Low,Clear,Afternoon,North-East,3.9
SG10089,4.9,47,57.31,Bicycle,High,Clear,Afternoon,East,4.8
SG10090,11.6,59,28.61,Car,Medium,Clear,Morning,North,4.2
SG10091,4,30,42.99,Motorcycle,High,Clear,Morning,North,5
SG10092,7,41,48.75,Car,Medium,Clear,Evening,North-East,4.3
SG10093,6,31,41.99,Car,Medium,Cloudy,Morning,Central,4.1
SG10094,1.9,24,17.06,Bicycle,Low,Clear,Evening,North,5
SG10095,14.4,50,57.83,Bicycle,Low,Clear,Night,North,5
SG10096,4.1,40,47.27,Bicycle,High,Cloudy,Afternoon,North-East,4.7
SG10097,2.4,28,37.7,Bicycle,Medium,Cloudy,Night,North-East,4.8
SG10098,8,43,37.07,Bicycle,Medium,Rainy,Morning,West,4.2
SG10099,5.3,45,35.21,Motorcycle,High,Rainy,Morning,West,5
SG10100,6.7,64,32.3,Car,High,Cloudy,Evening,Central,3.7
SG10101,5.7,56,40.88,Bicycle,High,Clear,Evening,North-East,4
SG10102,1.1,29,29.29,Bicycle,Low,Clear,Evening,Central,5
SG10103,2.9,24,19.31,Motorcycle,Medium,Cloudy,Morning,North,4.2
SG10104,2.9,34,16.65,Motorcycle,High,Clear,Evening,North,5
SG10105,9.4,40,25.73,Motorcycle,Medium,,Afternoon,East,5
SG10106,5.5,29,35.26,Motorcycle,Low,Clear,Afternoon,Central,5
SG10107,7.3,52,33.49,Motorcycle,High,Clear,Morning,Central,4.7
SG10108,4.3,34,34.22,Motorcycle,Medium,Clear,Night,North-East,4.7
SG10109,7.5,42,40.53,Motorcycle,Medium,Clear,Morning,West,4.1
SG10110,4.8,51,23.7,Motorcycle,High,Rainy,Evening,Central,4.4
SG10111,4.6,46,50.73,Motorcycle,Medium,Rainy,Evening,North,4.1
SG10112,6,43,29.33, bicycle ,Medium,Clear,Evening,Central,4.8
SG10113,5.7,47,26.91,Motorcycle,Medium,Rainy,Evening,North-East,4.9
SG10114,18,81,48.67,Motorcycle,Medium,Clear,Evening,East,4.4
SG10115,2.9,20,7,motorcycle,Low,Rainy,Morning,Central,5
SG10116,1.8,40,19.16,Motorcycle,High,Rainy,Morning,Central,
SG10117,6.6,57,46,Motorcycle,High,Clear,Evening,West,4.1
SG10118,3.2,30,7.97,Bicycle,Low,Rainy,Afternoon,East,4.7
SG10119,1,31,43.35,Car,Medium,Rainy,Morning,North,5
SG10120,2.5,41,49.62,Motorcycle,High,Rainy,Morning,West,4.5
SG10121,18,73,37.6,Bicycle,Low,Rainy,Afternoon,East,4.1
SG10122,2.9,about 30,34.08,Motorcycle,Medium,Cloudy,Morning,East,4.6
SG10123,1.4,26,43.67,Motorcycle,Medium,Clear,Morning,East,4.6
SG10124,17.5,74,35.95,Motorcycle,Medium,Rainy,Night,North-East,4.2
SG10125,2.4,27,41.21,Motorcycle,Low,Cloudy,Afternoon,Central,5
SG10126,18,67,33.68,Bicycle,Medium,Cloudy,Night,North-East,3.6
SG10127,4.2,35,25.12,Bicycle,Medium,Clear,Night,East,5
SG10128,14.4,59,29.17,Bicycle,Medium,Cloudy,Morning,Central,4
SG10129,4.5,30,36.08,Motorcycle,Low,Clear,Evening,Central,4.9
SG10130,7.1,61,48.71,Bicycle,Medium,Cloudy,Evening,Central,4.8
SG10131,4.9,39,29.52,Motorcycle,Medium,Clear,Evening,North,5
SG10132,4.6,21,15.12,Motorcycle,Low,Cloudy,Morning,West,5
SG10133,6.2,38,18.91,Motorcycle,Low,Rainy,Morning,East,5
SG10134,7.2,30,38.91,Bicycle,Low,Clear,Morning,North,4.6
SG10135,5.9,39,56.71,Car,Medium,Clear,Evening,West,4.2
SG10136,5.5,22,37.55,Motorcycle,Low,Clear,Night,North-East,4.7
SG10137,3.2,49,25.54,Motorcycle,High,rain,Evening,North-East,4.4
SG10138,5,50,41.97,Bicycle,Medium,Cloudy,Evening,North,3.4
SG10139,13.4,69,35.58,Bicycle,High,Clear,Night,North,3.9
SG10140,3.1,45,25.58,Motorcycle,High,Clear,Evening,North,4.3
SG10141,6.3,29,20.61,Bicycle,Low,Clear,Morning,West,
SG10142,10.9,56,55.06,Bicycle,Medium,Clear,Evening,North,4.5
SG10143,7.3,63,7,Car,High,Cloud,Afternoon,Central,3.9
SG10144,9.4,42,45.93,Motorcycle,Medium,Cloudy,Morning,North,4.9
SG10145,2.4,31,23.88,Car,Medium,Clear,Afternoon,North-East,5
SG10146,6.4,45,27.75,Motorcycle,Medium,Rainy,Night,Central,4.2
SG10147,4.4,29,53.51,car,Low,,Afternoon,North-East,4.7
SG10148,4.5,42,22.33,Motorcycle,N/A,,Afternoon,North-East,3.6
SG10149,12.7,69,29.3,Motorcycle,High,Clear,Morning,Central,3.5
SG10150,4.6,42,29.95,Motorcycle,High,Cloudy,Morning,West,4.3
SG10151,6.5,44,38.57,Motorcycle,Low,Rainy,Morning,North-East,4.6
SG10152,1.4,32,23.38,Motorcycle,Medium,Clear,Evening,North-East,4.4
SG10153,14.4,57,19.09,Motorcycle,Medium,Cloudy,Evening,Central,4.1
SG10154,9.1,54,24.04,Motorcycle,High,Rainy,Morning,East,3.8
SG10155,5.1,25,48.77,Motorcycle,Low,Clear,Afternoon,North,5
SG10156,4.3,40,32.38,Bicycle,High,Clear,Morning,Central,4.8
SG10157,7.7,54,40.05,Car,High,Cloudy,Morning,East,4.5
SG10158,10.9,55,33.28,Bicycle,Low,Clear,Evening,Central,4.3
SG10159,14.6,63,31.07,Motorcycle,N/A,Clear,Evening,Central,
SG10160,8.9,59,56.95,Motorcycle,High,Clear,Evening,West,4
SG10161,5.6,40,30.03,Car,Low,Rainy,Afternoon,West,N/A
SG10162,9.8,40,30.06,Motorcycle,Medium,Clear,Evening,West,4.5
SG10163,8.7,51,49.21,motorcycle,High,Clear,Morning,North,4.5
SG10164,5.6,46,23.1,Car,Medium,Rainy,Morning,East,5
SG10165,8.5,47,27.1,Car,Medium,Cloudy,Night,East,4.9
SG10166,8.4,66,34.88,Motorcycle,Medium,Rainy,Evening,Central,3.7
SG10167,5.1,37,32.1,Bicycle,Low,Clear,Night,Central,5
SG10168,3.7,49,34.36,Motorcycle,High,Rainy,Night,East,4.7
SG10169,8,48,61.58,Bicycle,Medium,Cloudy,Evening,Central,4.1
SG10170,2.6,17,34.43,Motorcycle,Low,Clear,Night,Central,5
SG10171,2.2,29,7,Motorcycle,Low,Rainy,Afternoon,Central,4.8
SG10172,6.5,46,37.48,Bicycle,High,Clear,Morning,North,3.9
SG10173,7.9,36,34.77,Motorcycle,Low,Clear,Morning,West,5
SG10174,6.5,52,33.78,Bicycle,High,Clear,Morning,North-East,4.5
SG10175,7,34,36.78,Motorcycle,Medium,Cloudy,Morning,North,4.7
SG10176,7.8,60,33.84,Car,High,Clear,Afternoon,West,4.2
SG10177,12.7,72,37.48,Bicycle,High,Clear,Evening,Central,3.6
SG10178,9,49,43.19,Motorcycle,High,Clear,Evening,West,4.7
SG10179,8.9,62,28.04,Bicycle,High,Clear,Evening,Central,4.2
SG10180,6.2,31,20.66,Motorcycle,Low,Clear,Morning,East,4.9
SG10181,6.4,58,72.41,Motorcycle,High,Cloudy,Evening,East,4.4
SG10182,4.8,32,22.57,Motorcycle,Medium,Clear,Afternoon,East,4.3
SG10183,6.8,45,34.78,Car,Medium,Clear,Morning,East,4.1
SG10184,2.5,45,10.54,Bicycle,High,Cloudy,Afternoon,North,3.6
SG10185,12.7,60,39.71,Car,High,Clear,Afternoon,North-East,4.5
SG10186,3,28,18.25,Car,Medium,Cloudy,Afternoon,North,4.4
SG10187,9,58,29.46,Car,Medium,Clear,Evening,West,4.3
SG10188,11.8,61,51,Motorcycle,Medium,N/A,Evening,West,4.4
SG10189,9,54,41.34,Car,Medium,Clear,Evening,Central,4.6
SG10190,18,167,49.79,Bicycle,Medium,,Morning,North,1.3
SG10191,1.1,34,7,Motorcycle,Medium,Clear,Evening,West,4.8
SG10192,3.9,46,55,Bicycle,Low,Rainy,Evening,East,5
SG10193,11.6,39,21.83,Motorcycle,Low,Clear,Morning,East,5
SG10194,2.1,51,49.57,Motorcycle,High,Cloudy,Evening,North-East,4.9
SG10195,3,34,43.71,Motorcycle,Medium,Cloudy,Afternoon,West,4.9
SG10196,7.5,48,41.48,Motorcycle,High,Clear,Afternoon,West,4
SG10197,5.5,31,21.32,Motorcycle,Medium,Clear,Morning,West,5
SG10198,7.2,39,35.71,Car,Low,Clear,Afternoon,East,4.6
SG10199,5.9,25,26.57,Bicycle,Low,Clear,Morning,West,5
SG10200,6.2,33,33.35,Motorcycle,Low,Clear,Morning,East,4.5
SG10201,3.3,40,27.36,Motorcycle,High,Rainy,Morning,East,N/A
SG10202,6.1,38,7,Motorcycle,Low,,Night,North,4.8
SG10203,4.1,30,45.85,Motorcycle,Medium,Clear,Afternoon,Central,5
SG10204,4.5,48,30.52,Bicycle,High,Cloudy,Afternoon,North,4.7
SG10205,8.9,58,28.85,Motorcycle,High,Rainy,Afternoon,East,4
SG10206,2.1,22,22.36,Bicycle,Low,Clear,Night,North,4.5
SG10207,0.9,45,33.37,Bicycle,Low,Rainy,Evening,West,5
SG10208,8.5,48,23.21,Bicycle,Low,Cloudy,Night,West,5
SG10209,6.1,45,7,Car,Low,Rainy,Afternoon,West,N/A
SG10210,11.8,51,42.7,Motorcycle,Low,Rainy,Morning,North-East,3.8
SG10211,3.1,42,37.23,Car,Medium,Clear,Evening,West,4.3
SG10212,5,54,29.42,Bicycle,High,Clear,Afternoon,North,4.6
SG-UNKNOWN,5.7,43,17.63,Bicycle,Medium,Cloudy,Evening,North,5
SG10214,3.5,32,31.98,Bicycle,Medium,,Night,Central,4.3
,2.8,18,11.23,Car,Low,Clear,Afternoon,East,5
SG10216,8.8,68,21.69,Car,High,Rainy,Night,East,4.1
SG10217,1.9,41,19.77,Motorcycle,Medium,Clear,Evening,East,5
SG10218,2.5,43,40.98,Bicycle,High,Clear,Afternoon,East,4.5
SG10219,4.9,46,27.21,Bicycle,High,Rainy,Afternoon,East,3.8
SG10220,9.5,47,29.74,Motorcycle,Medium,Clear,Morning,West,4.8
SG10221,3.7,29,56.37,Car,Low,Clear,Evening,Central,N/A
SG10222,3.4,27,35.29,Motorcycle,Low,Rainy,Morning,North,
SG10223,4.7,42,36.18,car,Medium,Clear,Afternoon,East,4.8
SG10224,6.8,53,28.6,Motorcycle,N/A,Clear,Evening,North,4.2
SG10225,4.2,28,23.63,Motorcycle,Medium,Clear,afternoon ,Central,4.5
SG10226,10.2,63,7.75,Car,High,Rainy,Morning,West,4.6
SG10227,10.5,53,48.98,Motorcycle,Medium,Clear,Evening,Central,4.6
SG10228,4.9,60mins,37.75,Motorcycle,Low,Clear,Morning,North,5
SG10229,16.1,57,38.56,Motorcycle,Medium,Clear,Afternoon,East,5
SG10230,5.6,34,30.7,Motorcycle,Medium,Clear,Afternoon,North-East,4.3
SG10231,10.3,62,45.78,Bicycle,Medium,Rainy,Afternoon,East,3.9
SG10232,6.6,40,13.1,Car,Medium,Clear,Morning,West,4.7
SG10233,6.6,37,25.58,Motorcycle,Low,Rainy,Evening,Central,4.5
SG10234,1.6,33,14.52,Bicycle,Medium,Clear,Night,West,5
SG10235,2.4,12,52.92,Motorcycle,Low,Clear,EVENING,West,5
SG10236,4.4,50,42.89,Bicycle,High,Rainy,Night,East,4
SG10237,10.4,43,7.72,Motorcycle,Low,Clear,Evening,Central,4.6
SG10238,6.7,37,13.68,Motorcycle,Low,Clear,Evening,Central,4.8
SG10239,4.4,48,29.81,Motorcycle,Medium,Rainy,Evening,Central,4.9
SG10240,7.9,56,28.18,Bicycle,Medium,Clear,Evening,North-East,4.5
SG10241,10.2,50,18.94,Motorcycle,Medium,Cloudy,Evening,East,4.7
SG10242,5.4,46,57.58,Motorcycle,Medium,Rainy,Afternoon,Central,4.7
SG10243,6.2,56,37.01,Bicycle,High,Clear,Evening,North-East,4.2
SG10244,5.7,33,38.72,Bicycle,Medium,Clear,Afternoon,Central,4.5
SG10245,5.2,42,23.13,Motorcycle,Medium,Clear,Morning,East,N/A
SG10246,3.1,32,39.85,Bicycle,Medium,Clear,Evening,North,4.7
SG10247,2.9,27,25.39,Car,Low,Clear,Morning,North-East,5
SG10248,7.9,46,30.61,Motorcycle,Medium,Cloudy,Afternoon,North,5
SG10249,10.3,46,44.2,Bicycle,Low,Clear,Morning,West,4.8
SG10250,4.4,31,10.35,Motorcycle,Medium,Cloudy,Morning,North-East,5
SG10251,4.3,40,52.23,Bicycle,Low,Clear,Evening,Central,4.6
SG10252,1.3,31,31.43,Motorcycle,High,Clear,Evening,North-East,4.3
SG10253,1.2,30,45.58,Bicycle,Medium,Clear,Afternoon,North-East,4.8
SG10254,12,58,23.61,Motorcycle,High,Cloudy,Morning,North-East,
SG10255,3.2,27,18.57,Motorcycle,Medium,Clear,Afternoon,Central,5
SG10256,18,67,27.3,Car,Low,Clear,Afternoon,Central,4.3
SG10257,3.6,57,34.15,Motorcycle,High,Rainy,Evening,North,4.7
SG10258,1.7,34,30.18,Car,Medium,Cloudy,Evening,West,4.5
SG10259,5.7,53,26.53,Car,High,Clear,Afternoon,West,4.1
SG10260,8.7,56,21.81,Car,Medium,Rainy,Afternoon,North-East,5
SG10261,8.1,35,18.04,Motorcycle,Medium,Clear,Night,West,5
SG10262,9.3,62,34.8,Bicycle,High,Clear,Evening,East,4
SG10263,2.7,27,24.07,Motorcycle,Medium,Clear,Afternoon,East,4.9
SG10264,11.8,48,28.54,Motorcycle,Medium,Clear,Afternoon,Central,4.4
SG10265,12.2,57,57.91,Car,Medium,Clear,Morning,Central,N/A
SG10266,12.6,59,36.99,Bicycle,Medium,Cloudy,Night,Central,4.5
SG10267,6.3,39,49.57,Motorcycle,High,Clear,Afternoon,North,5
SG10268,4.2,32,24.41,Motorcycle,Medium,Rainy,Afternoon,North,4.9
SG10269,3.9,44,34.32,Bicycle,Medium,Rainy,Night,West,4.9
SG10270,1.6,42,28.6,Bicycle,High,Cloudy,Evening,East,N/A
SG10271,3.7,33,8.87,Motorcycle,Medium,Cloudy,Morning,North,4.6
SG10272,0.8,32,47.25,Car,Medium,Cloudy,Morning,North,5
SG10273,1.5,25,27.43,Motorcycle,Medium,Rainy,Morning,North-East,5
SG10274,6.3,29,42.73,Motorcycle,Low,Clear,Evening,West,2.9
SG10275,4.5,45,21.83,Bicycle,Medium,Clear,Morning,North,4.9
SG10276,6.1,34,30.75,Car,Low,Clear,Night,West,5
SG10277,8.3,88,23.39,Motorcycle,Low,Cloudy,Night,West,2.7
SG10278,6.9,38,49.55,Motorcycle,Medium,N/A,Evening,North-East,5
SG10279,6.5,42,37.24,Motorcycle,Medium,Cloudy,Evening,East,3.4
SG10280,5.1,42,36.81,Car,High,Clear,Afternoon,East,5
SG10281,3.1,34,48.17,Motorcycle,Low,Rainy,Morning,East,4.8
SG10282,2.1,21,44.74,Motorcycle,Low,Clear,Evening,West,4
SG10283,3.7,48,40.95,Car,High,Clear,Morning,West,4.7
SG10284,5.1,25,13.6,Motorcycle,Low,Clear,Morning,North,5
SG10285,5.5,25,23.39,Motorcycle,Low,Clear,Afternoon,East,5
SG10286,9.3,35,22.39,Motorcycle,Low,Clear,Morning,Central,5
SG10287,4.8,26,41.3,Bicycle,Medium,Clear,Afternoon,North-East,4.8
SG10288,7.6,53,36.28,Motorcycle,High,Clear,Evening,East,3.5
SG10289,1.8,39,11.37,Motorcycle,High,Clear,Evening,North-East,5
SG10290,6.3,46,30.62,Motorcycle,Medium,Clear,Evening,Central,5
SG10291,6.1,31,13.42,Bicycle,Low,Clear,Evening,West,5
SG10292,11.8,62,36.76,Bicycle,Medium,Clear,Afternoon,West,3.3
SG10293,4.5,41,10.09,Motorcycle,Medium,Clear,Evening,North-East,4
SG10294,"3,5",33,38.38,Motorcycle,Low,,Afternoon,Central,4.4
SG10295,8.4,41,39.6,Car,Low,Clear,Afternoon,North-East,N/A
SG10296,2.3,30,54.61,Motorcycle,Medium,Clear,Night,West,4.9
SG10297,8.2km,32,44.01,Motorcycle,Low,Rainy,Afternoon,West,5
SG10298,2.2,37,24.24,Motorcycle,Medium,Rainy,Morning,West,4.1
SG10299,15.1,64,50.73,Motorcycle,Medium,Rainy,Afternoon,Central,4.5
SG10300,4,18,13.03,Motorcycle,Low,Clear,Afternoon,West,5
SG10301,2.1,24,17.15,Motorcycle,Medium,Cloudy,Afternoon,East,4.8
SG10302,3.7,44,35.31,Motorcycle,High,Clear,Evening,East,4.5
SG10303,6.3,39,N/A,Motorcycle,Medium,Rainy,Night,West,3.8
SG10304,7.4,64,33.46,Bicycle,High,,Afternoon,West,4
SG10305,11.4,59,23.88,Bicycle,Medium,Rainy,Evening,Central,4.3
SG10306,3.4,37,32.06,MOTORCYCLE,High,Rainy,Afternoon,Central,4.8
SG10307,8.6,52,20.87,Car,Low,Clear,Evening,Central,4.6
SG10308,1.5,36,34.71,Motorcycle,Medium,Rainy,Morning,Central,4.9
SG10309,2.5,28,30.27,Bicycle,Low,Rainy,Morning,West,4.8
SG10310,1.8,27,47.68,Motorcycle,Medium,Clear,Afternoon,Central,N/A
SG10311,3,52,30.5,Bicycle,Medium,Rainy,Evening,North-East,4.9
SG10312,8.4,97,24.69,Motorcycle,Low,Clear,Evening,Central,
SG10313,3.5,52,27.58,Motorcycle,High,Rainy,Evening,Central,4.5
SG10314,4,49,13.69,Motorcycle,Medium,N/A,Evening,North-East,4.4
SG10315,6.4,28,38.38,Motorcycle,Low,Clear,Afternoon,East,4.6
SG10316,7.2,34,41.45,Motorcycle,Low,Cloudy,Morning,East,5
SG10317,4,35,63.33,Bicycle,Medium,Clear,Morning,North-East,4.5
SG10318,2.5,37,21.93,Car,Medium,Rainy,Morning,North-East,N/A
SG10319,13.6,62,35.41,Motorcycle,Medium,Rainy,Afternoon,North,4.2
SG10320,4.1,32,23.76,Car,Low,Cloudy,Afternoon,Central,4.7
SG10321,4.3,55,34.22,Bicycle,High,Rainy,Afternoon,West,
SG10322,4.7,46,36.73,Car,High,Clear,Evening,North-East,4.3
SG10323,7.7,50,33.48,Bicycle,Medium,Clear,Afternoon,North-East,
SG10324,1.7,30,43.52,Bicycle,Medium,Clear,Evening,Central,5
SG10325,16.9,76,33.5,Motorcycle,High,Clear,Evening,East,4
SG10326,4.3,45,44.22,Bicycle,High,Clear,Afternoon,East,4.9
SG10327,7.9,47,41.31,Car,Medium,Clear,Afternoon,Central,4.3
SG10328,2.1,30,29.52,Motorcycle,High,Clear,Evening,North,5
SG10329,6,54,28.67,Motorcycle,High,Clear,Evening,East,4.2
SG10330,15.3,74,71.8,Motorcycle,High,Rainy,Afternoon,East,3.5
SG10331,14,67,28.59,Car,Medium,Clear,Afternoon,Central,3.6
SG10332,7.8,45,38.08,Motorcycle,Low,Rainy,Evening,West,3.8
SG10333,2.9,32,20.55,Bicycle,Low,Clear,Evening,Central,5
SG10334,11.1,61,60.06,Car,Medium,Clear,Morning,East,4.8
SG10335,1.5,28,40.71,Car,Medium,Clear,Afternoon,Central,5
SG10336,ten,32,21.42,Motorcycle,Medium,Clear,Night,North-East,4.4
SG10337,5.1,38,38.72,Bicycle,Medium,Clear,Morning,Central,5
SG10338,1.6,36,32.61,Car,Medium,Clear,Evening,West,4.6
SG10339,3.7,39,24.26,Motorcycle,High,Clear,Morning,Central,4.6
SG10340,8.7,47,44.82,Bicycle,Low,Clear,Afternoon,Central,5
SG10341,3.2,23,35.65,Motorcycle,Low,Cloudy,Afternoon,Central,5
SG10342,9,52,37.98,Bicycle,High,Clear,Morning,Central,5
SG10343,18,78,41.86,Motorcycle,High,Rainy,Night,Central,3.9
SG10344,6.9,49,39.1,Motorcycle,High,Clear,Afternoon,West,N/A
SG10345,8.9,57,38.08,Motorcycle,High,Rainy,Night,West,4
SG10346,11.3,71,37.8,Motorcycle,High,Rainy,Afternoon,Central,3.2
SG10347,4,50,22.84,Motorcycle,Medium,Rainy,Evening,East,4.3
SG10348,8.7,49,57.01,Bicycle,Medium,Rainy,Night,West,5
SG10349,3.9,26,17.46,Motorcycle,Low,Clear,Evening,Central,5
SG10350,6.6,31,38.8,Motorcycle,Medium,Cloudy,Morning,East,4.9
SG10351,9.6,74,31.5,Bicycle,High,Clear,Evening,Central,3.5
SG10352,3,48,53.25,motorcycle,Medium,Rainy,Evening,Central,4.6
SG10353,0.9,26,16.97,Motorcycle,Medium,Cloudy,Night,West,5
SG10354,2.8,20,20.66,Car,Low,Clear,Afternoon,North-East,5
SG10355,10.5,50,23.77,Motorcycle,Low,Rainy,Afternoon,North-East,4.5
SG10356,2.5,27,34.23,Car,Low,Clear,Morning,North-East,4.6
SG10357,10.1,46,18.24,Motorcycle,Low,Cloudy,Evening,East,4.9
SG10358,2.8,47,24.01,Bicycle,High,Cloudy,Night,Central,3.1
